ABB [GOLD] nf=26 down_streak=0 vol=0.8x sret=+1.8% rsi=52 distSMA200=-15% distHigh60=-1% atr=3.1% | close10d[5451,5488,5334,5398,5288,5440,5587,5636,5635,5735] vol5d[0.8x,1.6x,1.5x,0.9x,0.8x] | patterns: hit_10pc_20d:atr_20_pct>2.98 & dist_high_120<=-26.16 & rs_market_60d>-22.12 & weekly_close_loc>0.44 | hit_15pc_20d:n_sub_3_range_7d<=2.5 & weekly_close_loc>0.71 | hit_10pc_20d:atr_20_pct>2.38 & dist_high_252<=-5.37 & weekly_close_loc>0.74 & weekly_range_pct>4.48 | hit_10pc_20d:n_sub_3_range_7d<=3.5 & n_sub_75v_20d<=13.5 & slope_sma_50<=1.67 & weekly_close_loc>0.59 | hit_10pc_20d:dist_high_252<=-29.29 & dist_sma_200>-21.1 & rs_market_20d>-3.65 & weekly_close_loc>0.8
DIXON [ENTERPRISE-Dryup] nf=44 down_streak=0 vol=1.0x sret=+1.9% rsi=48 distSMA200=+11% distHigh60=-4% atr=3.6% | close10d[16402,16703,16049,16088,15619,15183,16066,16212,16114,16426] vol5d[0.7x,1.1x,0.9x,0.6x,1.0x] | patterns: hit_10pc_20d:atr_20_pct>3.19 & weekly_close_loc>0.74 & weekly_range_pct>5.15 | hit_15pc_20d:n_sub_3_range_7d<=2.5 & weekly_close_loc>0.71 | hit_10pc_20d:atr_20_pct>2.38 & dist_high_252<=-5.37 & weekly_close_loc>0.74 & weekly_range_pct>4.48 | hit_10pc_20d:atr_20_pct>2.44 & weekly_close_loc>0.72 & weekly_close_vs_sma20>0.12 & weekly_range_pct>5.15 | hit_10pc_20d:atr_20_pct>2.75 & n_sub_75v_20d<=12.5 & weekly_close_loc>0.69 & weekly_close_vs_sma20>3.06
BIOCON [GOLD] nf=30 down_streak=0 vol=0.9x sret=+0.1% rsi=57 distSMA200=-3% distHigh60=-8% atr=3.2% | close10d[318,335,341,346,334,329,328,329,338,338] vol5d[1.9x,2.2x,1.3x,0.9x,0.9x] | patterns: hit_10pc_20d:atr_20_pct>3.19 & weekly_close_loc>0.74 & weekly_range_pct>5.15 | hit_10pc_20d:roc_5<=2.59 & weekly_close_loc>0.48 & weekly_range_pct<=16.49 & weekly_range_pct>6.77 | hit_10pc_20d:atr_20_pct>2.35 & roc_20<=3.54 & weekly_close_loc>0.5 & weekly_range_pct>7.0 | hit_15pc_20d:n_sub_3_range_7d<=2.5 & weekly_close_loc>0.71 | hit_10pc_20d:atr_20_pct>2.38 & dist_high_252<=-5.37 & weekly_close_loc>0.74 & weekly_range_pct>4.48
ABFRL [GOLD] nf=39 down_streak=0 vol=1.0x sret=+0.1% rsi=52 distSMA200=-5% distHigh60=-1% atr=3.4% | close10d[256,263,257,265,258,254,269,268,277,277] vol5d[0.6x,0.9x,1.4x,1.8x,1.0x] | patterns: hit_10pc_20d:atr_20_pct>3.19 & weekly_close_loc>0.74 & weekly_range_pct>5.15 | hit_10pc_20d:atr_20_pct>2.38 & dist_high_252<=-5.37 & weekly_close_loc>0.74 & weekly_range_pct>4.48 | hit_10pc_20d:atr_20_pct>2.44 & weekly_close_loc>0.72 & weekly_close_vs_sma20>0.12 & weekly_range_pct>5.15 | hit_10pc_20d:atr_20_pct>2.75 & n_sub_75v_20d<=12.5 & weekly_close_loc>0.69 & weekly_close_vs_sma20>3.06 | hit_10pc_20d:atr_20_pct<=4.48 & weekly_close_loc>0.71 & weekly_close_vs_sma20>5.52 & weekly_range_pct>6.07
FEDERALBNK [ENTERPRISE-Dryup] nf=13 down_streak=0 vol=0.4x sret=+0.3% rsi=47 distSMA200=+2% distHigh60=-3% atr=2.8% | close10d[188,190,186,190,186,186,193,197,197,198] vol5d[0.5x,0.6x,0.7x,0.6x,0.4x] | patterns: hit_10pc_20d:atr_20_pct>2.38 & dist_high_252<=-5.37 & weekly_close_loc>0.74 & weekly_range_pct>4.48 | hit_10pc_20d:atr_20_pct>2.75 & n_sub_75v_20d<=12.5 & weekly_close_loc>0.69 & weekly_close_vs_sma20>3.06 | hit_10pc_20d:atr_20_pct>2.54 & dist_sma_20<=4.01 & weekly_close_loc>0.75 & weekly_close_vs_sma20<=13.7 | hit_10pc_20d:atr_20_pct>2.67 & roc_60>-11.53 & rs_market_60d<=3.56 & weekly_close_loc>0.71 | hit_15pc_20d:atr_20_pct>2.28 & slope_sma_20>0.21 & weekly_close_loc>0.8
GLENMARK [ENTERPRISE-Dryup] nf=27 down_streak=0 vol=0.5x sret=+0.3% rsi=54 distSMA200=-6% distHigh60=-9% atr=3.1% | close10d[1367,1403,1402,1432,1415,1395,1378,1414,1439,1443] vol5d[0.6x,0.8x,0.9x,0.5x,0.5x] | patterns: hit_10pc_20d:roc_5<=2.59 & weekly_close_loc>0.48 & weekly_range_pct<=16.49 & weekly_range_pct>6.77 | hit_10pc_20d:atr_20_pct>2.38 & dist_high_252<=-5.37 & weekly_close_loc>0.74 & weekly_range_pct>4.48 | hit_10pc_20d:atr_20_pct>2.44 & weekly_close_loc>0.72 & weekly_close_vs_sma20>0.12 & weekly_range_pct>5.15 | hit_15pc_20d:atr_20_pct>2.67 & roc_60>-15.42 & weekly_close_loc>0.71 & weekly_range_pct>7.25 | hit_10pc_20d:atr_20_pct>2.54 & dist_sma_20<=4.01 & weekly_close_loc>0.75 & weekly_close_vs_sma20<=13.7
GRANULES [GOLD] nf=72 down_streak=0 vol=1.1x sret=+2.0% rsi=60 distSMA200=-10% distHigh60=-10% atr=3.4% | close10d[452,460,447,452,441,440,459,476,491,501] vol5d[1.5x,2.3x,1.4x,1.4x,1.1x] | patterns: hit_10pc_20d:atr_5_vs_20<=1.2 & slope_sma_50<=0.77 & weekly_close_loc>0.62 & weekly_range_pct>11.78 | hit_10pc_20d:atr_20_pct>2.23 & weekly_close_loc>0.55 & weekly_range_pct>13.3 | hit_10pc_20d:atr_20_pct>2.59 & weekly_close_loc>0.68 & weekly_range_pct>8.52 | hit_10pc_20d:atr_20_pct>2.32 & dist_high_120<=-4.81 & weekly_close_loc>0.64 & weekly_range_pct>8.0 | hit_10pc_20d:atr_20_pct>3.35 & close_loc>0.39 & weekly_close_loc>0.64 & weekly_range_pct>8.51
GODREJPROP [ENTERPRISE-Dryup] nf=48 down_streak=0 vol=1.2x sret=+1.4% rsi=50 distSMA200=-17% distHigh60=-7% atr=4.0% | close10d[2216,2219,2088,2128,2030,2000,2147,2102,2119,2149] vol5d[0.9x,1.0x,0.6x,0.9x,1.2x] | patterns: hit_10pc_20d:atr_20_pct>3.59 & dist_sma_200<=49.25 & slope_sma_20>-1.3 & weekly_close_loc>0.7 | hit_10pc_20d:atr_20_pct>2.98 & dist_high_120<=-26.16 & rs_market_60d>-22.12 & weekly_close_loc>0.44 | hit_10pc_20d:atr_20_pct>3.78 & weekly_close_loc>0.63 & weekly_close_vs_sma20<=9.42 | hit_15pc_20d:n_sub_3_range_7d<=2.5 & weekly_close_loc>0.71 | hit_15pc_20d:atr_20_pct>3.6 & dist_high_252<=-35.35 & rs_market_20d<=1.36 & weekly_close_vs_sma20<=9.42
EXIDEIND [ENTERPRISE-Dryup] nf=24 down_streak=0 vol=0.8x sret=+0.3% rsi=51 distSMA200=-10% distHigh60=-1% atr=3.4% | close10d[353,364,368,374,359,359,376,373,381,382] vol5d[0.6x,0.7x,0.4x,0.7x,0.8x] | patterns: hit_10pc_20d:atr_20_pct>2.38 & dist_high_252<=-5.37 & weekly_close_loc>0.74 & weekly_range_pct>4.48 | hit_10pc_20d:atr_20_pct>2.75 & n_sub_75v_20d<=12.5 & weekly_close_loc>0.69 & weekly_close_vs_sma20>3.06 | hit_10pc_20d:atr_20_pct>2.54 & dist_sma_20<=4.01 & weekly_close_loc>0.75 & weekly_close_vs_sma20<=13.7 | hit_15pc_20d:atr_20_pct>2.29 & dist_high_252<=-37.13 & rs_sector_60d<=-4.87 | hit_10pc_20d:atr_20_pct>3.08 & n_sub_75v_20d<=12.5 & roc_60<=9.15 & weekly_close_loc>0.41
GUJGASLTD [GOLD] nf=22 down_streak=1 vol=1.4x sret=-0.6% rsi=56 distSMA200=-7% distHigh60=-1% atr=3.5% | close10d[447,463,449,452,442,446,458,458,470,467] vol5d[1.7x,0.5x,0.7x,2.7x,1.4x] | patterns: hit_10pc_20d:atr_20_pct>2.75 & n_sub_75v_20d<=12.5 & weekly_close_loc>0.69 & weekly_close_vs_sma20>3.06 | hit_10pc_20d:n_sub_3_range_7d<=3.5 & n_sub_75v_20d<=13.5 & slope_sma_50<=1.67 & weekly_close_loc>0.59 | hit_15pc_20d:atr_20_pct>3.42 & weekly_close_loc>0.66 | hit_10pc_20d:atr_20_pct>2.54 & dist_sma_20<=4.01 & weekly_close_loc>0.75 & weekly_close_vs_sma20<=13.7 | hit_15pc_20d:dist_high_252<=-15.59 & n_sub_2_5_range_7d<=2.5 & weekly_close_loc>0.74
ESCORTS [GOLD-baseline] nf=71 down_streak=0 vol=1.5x sret=+0.5% rsi=60 distSMA200=+1% distHigh60=-1% atr=3.1% | close10d[3185,3214,3165,3171,3162,3098,3378,3465,3489,3507] vol5d[1.7x,3.4x,2.8x,1.1x,1.5x] | patterns: hit_10pc_20d:roc_60<=31.97 & weekly_close_loc>0.59 & weekly_close_vs_sma20>8.87 & weekly_range_pct>9.47 | hit_10pc_20d:rs_sector_20d>-6.57 & weekly_close_loc>0.55 & weekly_close_vs_sma20>9.15 & weekly_range_pct>9.62 | hit_10pc_20d:atr_20_pct>2.59 & weekly_close_loc>0.68 & weekly_range_pct>8.52 | hit_10pc_20d:atr_20_pct>2.56 & roc_20<=29.31 & weekly_close_loc>0.71 & weekly_range_pct>7.89 | hit_10pc_20d:atr_20_pct<=4.4 & weekly_close_loc>0.81 & weekly_close_vs_sma20>2.23 & weekly_range_pct>8.5
ICICIPRULI [ENTERPRISE-Dryup] nf=10 down_streak=0 vol=0.5x sret=+0.8% rsi=55 distSMA200=-8% distHigh60=-1% atr=2.8% | close10d[607,611,592,591,582,580,603,603,607,612] vol5d[0.3x,0.3x,0.2x,0.3x,0.5x] | patterns: hit_10pc_20d:atr_20_pct>2.75 & n_sub_75v_20d>12.5 & weekly_close_loc>0.69 & weekly_close_vs_sma20>3.06 | hit_10pc_20d:atr_20_pct>2.54 & dist_sma_20<=4.01 & weekly_close_loc>0.75 & weekly_close_vs_sma20<=13.7 | hit_10pc_20d:atr_20_pct>2.67 & roc_60>-11.53 & rs_market_60d<=3.56 & weekly_close_loc>0.71 | hit_15pc_20d:atr_20_pct>2.28 & slope_sma_20>0.21 & weekly_close_loc>0.8 | hit_10pc_20d:dist_high_252>-29.29 & dist_sma_200>-21.1 & rs_market_20d>-3.65 & weekly_close_loc>0.8
BAJFINANCE [ENTERPRISE-Dryup] nf=10 down_streak=0 vol=0.8x sret=+1.2% rsi=48 distSMA200=+21% distHigh60=-5% atr=2.7% | close10d[881,888,874,893,878,860,898,900,904,914] vol5d[0.9x,0.8x,1.0x,0.6x,0.8x] | patterns: hit_10pc_20d:atr_20_pct>2.55 & slope_sma_50<=1.01 & weekly_close_loc>0.43 & weekly_close_vs_sma20>8.43 | hit_10pc_20d:atr_20_pct>2.54 & dist_sma_20<=4.01 & weekly_close_loc>0.75 & weekly_close_vs_sma20<=13.7 | hit_10pc_20d:atr_20_pct>2.67 & roc_60>-11.53 & rs_market_60d<=3.56 & weekly_close_loc>0.71 | hit_15pc_20d:atr_20_pct>2.28 & slope_sma_20>0.21 & weekly_close_loc>0.8 | hit_10pc_20d:dist_high_10>-5.19 & dist_high_120>-7.21 & slope_sma_50>0.67 & weekly_close_loc>0.82
ABCAPITAL [GOLD-baseline] nf=74 down_streak=1 vol=1.2x sret=-1.3% rsi=59 distSMA200=+10% distHigh60=-2% atr=3.5% | close10d[197,199,192,201,195,193,206,205,218,215] vol5d[1.0x,1.1x,1.2x,4.6x,1.2x] | patterns: hit_10pc_20d:rs_sector_20d>-6.57 & weekly_close_loc>0.55 & weekly_close_vs_sma20>9.15 & weekly_range_pct>9.62 | hit_10pc_20d:atr_20_pct>2.59 & weekly_close_loc>0.68 & weekly_range_pct>8.52 | hit_10pc_20d:atr_20_pct>3.35 & close_loc>0.39 & weekly_close_loc>0.64 & weekly_range_pct>8.51 | hit_15pc_20d:atr_20_pct>2.93 & weekly_close_loc>0.6 & weekly_close_vs_sma20>21.13 & weekly_range_pct>9.69 | hit_10pc_20d:atr_20_pct>2.56 & roc_20<=29.31 & weekly_close_loc>0.71 & weekly_range_pct>7.89
IGL [ENTERPRISE-Dryup] nf=17 down_streak=1 vol=0.3x sret=-0.4% rsi=67 distSMA200=-5% distHigh60=-2% atr=3.5% | close10d[189,201,199,200,194,195,200,198,200,200] vol5d[0.4x,0.3x,0.2x,0.3x,0.3x] | patterns: hit_10pc_20d:atr_20_pct>3.08 & n_sub_75v_20d<=12.5 & roc_60<=9.15 & weekly_close_loc>0.41 | hit_10pc_20d:atr_20_pct>2.98 & dist_high_120>-26.16 & rs_sector_60d>-21.31 & weekly_close_loc>0.44 | hit_15pc_20d:atr_20_pct>3.2 & dist_sma_200<=19.12 & weekly_close_loc>0.42 | hit_10pc_20d:atr_20_pct>3.12 & dist_sma_200<=10.57 & weekly_close_loc>0.53 & weekly_range_pct<=10.47 | hit_10pc_20d:atr_20_pct>3.42 & weekly_close_loc>0.5 & weekly_range_pct<=8.52
GODREJCP [ENTERPRISE-Dryup] nf=10 down_streak=0 vol=0.6x sret=+0.7% rsi=61 distSMA200=+5% distHigh60=-1% atr=2.6% | close10d[1238,1241,1230,1226,1220,1221,1268,1250,1266,1274] vol5d[0.5x,1.0x,0.7x,0.9x,0.6x] | patterns: hit_10pc_20d:atr_20_pct>2.54 & dist_sma_20<=4.01 & weekly_close_loc>0.75 & weekly_close_vs_sma20<=13.7 | hit_10pc_20d:atr_20_pct>2.55 & slope_sma_50>1.01 & weekly_close_loc>0.43 & weekly_close_vs_sma20>8.43 | hit_10pc_20d:roc_60>12.78 & weekly_close_loc>0.65 | hit_15pc_20d:atr_20_pct>2.28 & slope_sma_20>0.21 & weekly_close_loc>0.8 | hit_10pc_20d:dist_high_252>-29.29 & dist_sma_200>-21.1 & rs_market_20d>-3.65 & weekly_close_loc>0.8
INFY [GOLD-baseline] nf=14 down_streak=0 vol=1.3x sret=+1.3% rsi=76 distSMA200=-10% distHigh60=-15% atr=2.4% | close10d[1464,1465,1468,1465,1468,1464,1580,1524,1547,1567] vol5d[0.5x,1.3x,1.4x,0.6x,1.3x] | patterns: hit_10pc_20d:rs_market_60d<=26.73 & weekly_close_loc>0.7 & weekly_close_vs_sma20<=39.28 & weekly_range_pct>5.14 | hit_10pc_20d:atr_20_pct<=4.48 & weekly_close_loc>0.71 & weekly_close_vs_sma20<=5.52 & weekly_range_pct>6.07 | hit_15pc_20d:atr_20_pct>2.28 & slope_sma_20>0.21 & weekly_close_loc>0.8 | hit_25pc_30d:dist_sma_200<=-9.44 & n_sub_75v_7d>2.5 & weekly_close_loc>0.46 & weekly_range_pct>5.39 | hit_10pc_20d:dist_high_252>-29.29 & dist_sma_200>-21.1 & rs_market_20d>-3.65 & weekly_close_loc>0.8
IRFC [GOLD] nf=57 down_streak=0 vol=1.3x sret=+0.2% rsi=46 distSMA200=-10% distHigh60=-5% atr=3.3% | close10d[122,123,118,119,117,114,123,122,128,128] vol5d[1.1x,1.2x,0.8x,1.7x,1.3x] | patterns: hit_10pc_20d:atr_20_pct>2.32 & dist_high_120<=-4.81 & weekly_close_loc>0.64 & weekly_range_pct>8.0 | hit_10pc_20d:atr_20_pct>2.56 & roc_20<=29.31 & weekly_close_loc>0.71 & weekly_range_pct>7.89 | hit_10pc_20d:atr_20_pct>3.19 & weekly_close_loc>0.74 & weekly_range_pct>5.15 | hit_10pc_20d:atr_20_pct>2.35 & roc_20<=3.54 & weekly_close_loc>0.5 & weekly_range_pct>7.0 | hit_10pc_20d:atr_20_pct>2.38 & dist_high_252<=-5.37 & weekly_close_loc>0.74 & weekly_range_pct>4.48
CONCOR [GOLD] nf=22 down_streak=0 vol=2.3x sret=+0.4% rsi=45 distSMA200=-25% distHigh60=-6% atr=2.7% | close10d[534,543,530,534,517,510,541,542,541,543] vol5d[1.0x,1.3x,1.4x,2.6x,2.3x] | patterns: hit_10pc_20d:dist_high_252<=-43.48 & dist_sma_200<=24.12 & rs_sector_60d>-40.44 | hit_10pc_20d:atr_20_pct>2.44 & dist_sma_200<=-21.3 & weekly_close_vs_sma20<=0.12 | hit_15pc_20d:atr_20_pct>2.29 & dist_high_252<=-37.13 & rs_sector_60d<=-4.87 | hit_25pc_30d:dist_high_120<=-11.56 & dist_high_252<=-38.3 & rs_sector_60d<=-4.73 | hit_15pc_20d:dist_high_252<=-43.48 & dist_sma_200<=24.75 & rs_sector_20d<=-5.33
AUROPHARMA [GOLD] nf=75 down_streak=2 vol=0.8x sret=-0.3% rsi=44 distSMA200=-6% distHigh60=-5% atr=3.6% | close10d[1203,1237,1206,1193,1153,1160,1201,1219,1215,1212] vol5d[0.6x,2.0x,1.5x,0.7x,0.8x] | patterns: hit_10pc_20d:atr_20_pct>3.12 & roc_5<=5.48 & weekly_close_loc>0.53 & weekly_range_pct>10.47 | hit_10pc_20d:atr_20_pct>3.35 & close_loc<=0.39 & weekly_close_loc>0.64 & weekly_range_pct>8.51 | hit_10pc_20d:atr_20_pct>2.59 & weekly_close_loc>0.68 & weekly_range_pct>8.52 | hit_10pc_20d:atr_20_pct>2.32 & dist_high_120<=-4.81 & weekly_close_loc>0.64 & weekly_range_pct>8.0 | hit_10pc_20d:dist_high_10<=-2.52 & dist_high_252<=-15.6 & weekly_close_loc>0.5 & weekly_range_pct>7.5
