ABB [GOLD] nf=64 down_streak=1 vol=0.9x sret=-0.3% rsi=62 distSMA200=-25% distHigh60=-22% atr=3.5% | close10d[5370,5327,5160,5129,5140,5119,5188,5411,5476,5461] vol5d[0.5x,0.4x,0.7x,0.8x,0.9x] | patterns: hit_10pc_20d:atr_20_pct>3.19 & weekly_close_loc>0.74 & weekly_range_pct>5.15 | hit_10pc_20d:atr_20_pct>2.98 & dist_high_120<=-26.16 & rs_market_60d>-22.12 & weekly_close_loc>0.44 | hit_10pc_20d:atr_20_pct>2.67 & roc_60<=-11.53 & rs_sector_60d>-13.91 & weekly_close_loc>0.71 | hit_10pc_20d:atr_20_pct>2.38 & dist_high_252<=-5.37 & weekly_close_loc>0.74 & weekly_range_pct>4.48 | hit_15pc_20d:atr_20_pct>2.98 & n_sub_3_range_7d<=3.5 & weekly_close_loc>0.73 & weekly_close_vs_sma20<=-3.68
DEEPAKNTR [ENTERPRISE-Dryup] nf=23 down_streak=0 vol=1.4x sret=+0.3% rsi=73 distSMA200=-21% distHigh60=-22% atr=2.9% | close10d[1949,1981,1936,1952,1949,1941,1969,1969,2017,2023] vol5d[0.3x,0.4x,0.0x,0.9x,1.4x] | patterns: hit_10pc_20d:dist_high_252<=-33.68 & dist_sma_200<=2.78 & slope_sma_50<=-1.97 | hit_10pc_20d:atr_20_pct>2.44 & dist_sma_200<=-21.3 & weekly_close_vs_sma20<=0.12 | hit_15pc_20d:dist_sma_200<=-16.39 & roc_60<=-12.56 | hit_15pc_20d:atr_20_pct>2.54 & dist_high_120<=-26.98 & weekly_close_vs_sma20<=-1.73 | hit_10pc_20d:dist_sma_200<=-21.1 & dist_sma_200>-25.2
DLF [ENTERPRISE-Dryup] nf=34 down_streak=1 vol=1.5x sret=-0.5% rsi=67 distSMA200=-14% distHigh60=-18% atr=3.1% | close10d[660,662,642,669,664,653,651,651,692,689] vol5d[0.8x,0.6x,0.0x,1.1x,1.5x] | patterns: hit_10pc_20d:atr_20_pct>2.35 & roc_20<=3.54 & weekly_close_loc>0.5 & weekly_range_pct>7.0 | hit_10pc_20d:atr_20_pct>2.67 & roc_60<=-11.53 & rs_sector_60d>-13.91 & weekly_close_loc>0.71 | hit_10pc_20d:atr_20_pct>2.38 & dist_high_252<=-5.37 & weekly_close_loc>0.74 & weekly_range_pct>4.48 | hit_15pc_20d:atr_20_pct>3.04 & vol_5d_vs_20d<=1.58 & weekly_close_loc>0.69 & weekly_range_pct>5.68 | hit_15pc_20d:atr_20_pct>2.67 & dist_sma_50>-9.62 & roc_60<=-15.42 & weekly_close_loc>0.71
APOLLOTYRE [ENTERPRISE-Dryup] nf=33 down_streak=0 vol=1.1x sret=+0.5% rsi=66 distSMA200=-13% distHigh60=-22% atr=2.7% | close10d[394,405,402,395,400,394,395,395,418,420] vol5d[0.4x,0.5x,0.0x,1.2x,1.1x] | patterns: hit_10pc_20d:atr_20_pct>2.67 & roc_60<=-11.53 & rs_sector_60d>-13.91 & weekly_close_loc>0.71 | hit_10pc_20d:atr_20_pct>2.38 & dist_high_252<=-5.37 & weekly_close_loc>0.74 & weekly_range_pct>4.48 | hit_10pc_20d:atr_20_pct>2.35 & roc_20>3.54 & weekly_close_loc>0.5 & weekly_range_pct>7.0 | hit_15pc_20d:atr_20_pct>2.67 & dist_sma_50>-9.62 & roc_60<=-15.42 & weekly_close_loc>0.71 | hit_10pc_20d:rs_market_60d<=26.73 & weekly_close_loc>0.7 & weekly_close_vs_sma20<=39.28 & weekly_range_pct>5.14
DIXON [ENTERPRISE-Dryup] nf=67 down_streak=0 vol=0.7x sret=+0.2% rsi=51 distSMA200=-2% distHigh60=-26% atr=4.0% | close10d[14250,13905,13125,13293,13073,13318,13092,13092,13869,13900] vol5d[1.2x,0.9x,0.0x,0.8x,0.7x] | patterns: hit_10pc_20d:atr_20_pct>3.59 & dist_high_60<=-22.1 & slope_sma_20<=-1.3 & weekly_close_loc>0.7 | hit_10pc_20d:atr_20_pct>3.72 & roc_60<=-14.78 & weekly_close_loc>0.66 | hit_10pc_20d:atr_20_pct>3.19 & weekly_close_loc>0.74 & weekly_range_pct>5.15 | hit_10pc_20d:atr_20_pct>2.98 & dist_high_120<=-26.16 & rs_market_60d>-22.12 & weekly_close_loc>0.44 | hit_10pc_20d:atr_20_pct>2.35 & roc_20<=3.54 & weekly_close_loc>0.5 & weekly_range_pct>7.0
BIOCON [ENTERPRISE-Dryup] nf=19 down_streak=1 vol=0.3x sret=-0.2% rsi=70 distSMA200=-3% distHigh60=-16% atr=3.0% | close10d[333,333,328,328,325,323,333,333,341,341] vol5d[0.4x,0.7x,0.0x,0.6x,0.3x] | patterns: hit_10pc_20d:atr_20_pct>2.38 & dist_high_252<=-5.37 & weekly_close_loc>0.74 & weekly_range_pct>4.48 | hit_10pc_20d:rs_market_60d<=26.73 & weekly_close_loc>0.7 & weekly_close_vs_sma20<=39.28 & weekly_range_pct>5.14 | hit_10pc_20d:atr_20_pct<=4.48 & weekly_close_loc>0.71 & weekly_close_vs_sma20<=5.52 & weekly_range_pct>6.07 | hit_10pc_20d:atr_20_pct>2.67 & roc_60>-11.53 & rs_market_60d<=3.56 & weekly_close_loc>0.71 | hit_10pc_20d:atr_20_pct>2.54 & dist_sma_20>4.01 & weekly_close_loc>0.75 & weekly_close_vs_sma20<=13.7
ABFRL [GOLD] nf=23 down_streak=1 vol=1.4x sret=-0.2% rsi=62 distSMA200=-17% distHigh60=-14% atr=2.9% | close10d[243,242,237,240,243,240,241,241,251,251] vol5d[0.9x,0.7x,0.0x,2.5x,1.4x] | patterns: hit_10pc_20d:atr_20_pct>2.38 & dist_high_252<=-5.37 & weekly_close_loc>0.74 & weekly_range_pct>4.48 | hit_10pc_20d:dist_high_252<=-29.29 & dist_sma_200>-21.1 & rs_market_20d>-3.65 & weekly_close_loc>0.8 | hit_10pc_20d:atr_20_pct>2.54 & dist_sma_20<=4.01 & weekly_close_loc>0.75 & weekly_close_vs_sma20<=13.7 | hit_10pc_20d:rs_market_60d<=26.73 & weekly_close_loc>0.7 & weekly_close_vs_sma20<=39.28 & weekly_range_pct>5.14 | hit_10pc_20d:atr_20_pct>2.67 & roc_60>-11.53 & rs_market_60d<=3.56 & weekly_close_loc>0.71
BERGEPAINT [ENTERPRISE-Dryup] nf=16 down_streak=0 vol=0.7x sret=+1.3% rsi=51 distSMA200=-2% distHigh60=-1% atr=2.5% | close10d[497,506,501,495,479,485,499,499,498,504] vol5d[0.9x,0.6x,0.0x,1.1x,0.7x] | patterns: hit_10pc_20d:atr_20_pct>2.15 & rs_sector_60d>13.71 & weekly_close_loc>0.83 | hit_10pc_20d:atr_20_pct>2.38 & dist_high_252<=-5.37 & weekly_close_loc>0.74 & weekly_range_pct>4.48 | hit_10pc_20d:atr_20_pct>2.44 & weekly_close_loc>0.72 & weekly_close_vs_sma20>0.12 & weekly_range_pct>5.15 | hit_10pc_20d:rs_market_60d<=26.73 & weekly_close_loc>0.7 & weekly_close_vs_sma20<=39.28 & weekly_range_pct>5.14 | hit_15pc_20d:atr_20_pct>2.44 & weekly_close_loc>0.72 & weekly_close_vs_sma20>0.12 & weekly_range_pct>5.18
ALKEM [ENTERPRISE-Dryup] nf=10 down_streak=0 vol=0.6x sret=+1.1% rsi=69 distSMA200=-9% distHigh60=-13% atr=2.4% | close10d[4701,4692,4588,4732,4704,4662,4772,4772,4805,4859] vol5d[0.4x,0.9x,0.0x,0.4x,0.6x] | patterns: hit_15pc_20d:atr_20_pct>2.28 & slope_sma_20>0.21 & weekly_close_loc>0.8 | hit_10pc_20d:dist_high_252>-29.29 & dist_sma_200>-21.1 & rs_market_20d>-3.65 & weekly_close_loc>0.8 | hit_10pc_20d:dist_high_60<=-3.65 & n_sub_75v_20d>9.5 & weekly_close_loc>0.22 & weekly_range_pct>3.68 | hit_10pc_20d:dist_high_120<=-19.65 & slope_sma_50>-1.43 & weekly_close_loc>0.55 & weekly_range_pct<=9.62 | hit_10pc_20d:dist_sma_20>-2.87 & dist_sma_200<=-1.47 & rs_market_60d>-13.49 & weekly_close_loc>0.81
FEDERALBNK [ENTERPRISE-Dryup] nf=14 down_streak=0 vol=0.7x sret=+0.2% rsi=65 distSMA200=-3% distHigh60=-10% atr=2.3% | close10d[181,179,178,178,177,176,176,176,185,185] vol5d[0.5x,0.5x,0.0x,1.7x,0.7x] | patterns: hit_10pc_20d:rs_market_60d<=26.73 & weekly_close_loc>0.7 & weekly_close_vs_sma20<=39.28 & weekly_range_pct>5.14 | hit_10pc_20d:atr_20_pct<=4.48 & weekly_close_loc>0.71 & weekly_close_vs_sma20<=5.52 & weekly_range_pct>6.07 | hit_15pc_20d:roc_60>-5.88 & rs_sector_20d>-2.8 & weekly_close_loc>0.73 & weekly_range_pct>6.25 | hit_10pc_20d:dist_high_252>-29.29 & dist_sma_200>-21.1 & rs_market_20d>-3.65 & weekly_close_loc>0.8 | hit_10pc_20d:dist_high_10>-8.11 & n_sub_75v_7d>2.5 & weekly_close_loc>0.22 & weekly_range_pct>5.84
GLENMARK [ENTERPRISE-Dryup] nf=16 down_streak=1 vol=0.6x sret=-0.5% rsi=78 distSMA200=-2% distHigh60=-11% atr=2.8% | close10d[1393,1401,1400,1397,1419,1402,1426,1426,1483,1475] vol5d[0.5x,0.8x,0.0x,0.6x,0.6x] | patterns: hit_10pc_20d:atr_20_pct>2.38 & dist_high_252<=-5.37 & weekly_close_loc>0.74 & weekly_range_pct>4.48 | hit_10pc_20d:rs_market_60d<=26.73 & weekly_close_loc>0.7 & weekly_close_vs_sma20<=39.28 & weekly_range_pct>5.14 | hit_10pc_20d:atr_20_pct<=4.48 & weekly_close_loc>0.71 & weekly_close_vs_sma20<=5.52 & weekly_range_pct>6.07 | hit_10pc_20d:atr_20_pct>2.67 & roc_60>-11.53 & rs_market_60d<=3.56 & weekly_close_loc>0.71 | hit_10pc_20d:atr_20_pct>2.54 & dist_sma_20>4.01 & weekly_close_loc>0.75 & weekly_close_vs_sma20<=13.7
BATAINDIA [ENTERPRISE-Dryup] nf=36 down_streak=0 vol=0.5x sret=+0.0% rsi=48 distSMA200=-9% distHigh60=-14% atr=3.5% | close10d[1237,1224,1207,1188,1220,1227,1197,1197,1260,1260] vol5d[0.4x,0.5x,0.0x,0.5x,0.5x] | patterns: hit_10pc_20d:atr_20_pct>3.43 & close_loc<=0.44 & weekly_close_loc>0.67 & weekly_range_pct<=11.61 | hit_10pc_20d:atr_20_pct>2.35 & roc_20<=3.54 & weekly_close_loc>0.5 & weekly_range_pct>7.0 | hit_15pc_20d:atr_20_pct>3.42 & weekly_close_loc>0.66 | hit_15pc_20d:atr_20_pct>3.04 & vol_5d_vs_20d<=1.58 & weekly_close_loc>0.69 & weekly_range_pct>5.68 | hit_10pc_20d:atr_20_pct>3.19 & weekly_close_loc<=0.74 & weekly_close_loc>0.69 & weekly_range_pct>5.15
GRANULES [ENTERPRISE-Dryup] nf=57 down_streak=0 vol=0.6x sret=+0.8% rsi=48 distSMA200=-11% distHigh60=-19% atr=4.0% | close10d[492,492,477,477,475,469,487,487,495,499] vol5d[0.3x,0.7x,0.0x,0.7x,0.6x] | patterns: hit_10pc_20d:atr_20_pct>3.72 & roc_60<=-14.78 & weekly_close_loc>0.66 | hit_10pc_20d:atr_20_pct>3.19 & weekly_close_loc>0.74 & weekly_range_pct>5.15 | hit_10pc_20d:atr_20_pct>2.35 & roc_20<=3.54 & weekly_close_loc>0.5 & weekly_range_pct>7.0 | hit_10pc_20d:atr_20_pct>2.67 & roc_60<=-11.53 & rs_sector_60d>-13.91 & weekly_close_loc>0.71 | hit_10pc_20d:atr_20_pct>3.78 & weekly_close_loc>0.63 & weekly_close_vs_sma20<=9.42
GODREJPROP [ENTERPRISE-Dryup] nf=81 down_streak=0 vol=1.3x sret=+0.2% rsi=66 distSMA200=-24% distHigh60=-27% atr=3.8% | close10d[2065,2008,1974,2046,2018,1969,1974,1974,2105,2109] vol5d[0.4x,1.0x,0.0x,1.4x,1.3x] | patterns: hit_10pc_20d:atr_20_pct>3.72 & roc_60<=-14.78 & weekly_close_loc>0.66 | hit_10pc_20d:atr_20_pct>2.98 & dist_high_120<=-26.16 & rs_market_60d<=-22.12 & weekly_close_loc>0.44 | hit_10pc_20d:atr_20_pct>2.32 & dist_high_120<=-4.81 & weekly_close_loc>0.64 & weekly_range_pct>8.0 | hit_10pc_20d:atr_20_pct>2.56 & roc_20<=29.31 & weekly_close_loc>0.71 & weekly_range_pct>7.89 | hit_10pc_20d:atr_20_pct>3.19 & weekly_close_loc>0.74 & weekly_range_pct>5.15
EXIDEIND [ENTERPRISE-Dryup] nf=46 down_streak=0 vol=1.1x sret=+1.6% rsi=51 distSMA200=-22% distHigh60=-18% atr=3.0% | close10d[354,354,345,343,339,331,332,332,348,354] vol5d[0.9x,1.0x,0.0x,1.6x,1.1x] | patterns: hit_10pc_20d:atr_20_pct>2.98 & dist_high_120<=-26.16 & rs_market_60d>-22.12 & weekly_close_loc>0.44 | hit_10pc_20d:atr_20_pct>2.35 & roc_20<=3.54 & weekly_close_loc>0.5 & weekly_range_pct>7.0 | hit_10pc_20d:atr_20_pct>2.67 & roc_60<=-11.53 & rs_sector_60d>-13.91 & weekly_close_loc>0.71 | hit_10pc_20d:atr_20_pct>2.38 & dist_high_252<=-5.37 & weekly_close_loc>0.74 & weekly_range_pct>4.48 | hit_10pc_20d:dist_high_252<=-33.68 & dist_sma_200<=2.78 & slope_sma_50<=-1.97
HAVELLS [GOLD-baseline] nf=34 down_streak=1 vol=3.2x sret=-3.6% rsi=58 distSMA200=-14% distHigh60=-13% atr=3.3% | close10d[1441,1451,1459,1460,1470,1449,1452,1452,1547,1491] vol5d[0.9x,0.7x,0.0x,1.1x,3.2x] | patterns: hit_10pc_20d:dist_high_10<=-2.52 & dist_high_252<=-15.6 & weekly_close_loc>0.5 & weekly_range_pct>7.5 | hit_10pc_20d:dist_high_10<=-3.88 & roc_60<=12.78 & weekly_close_loc>0.41 & weekly_range_pct>7.9 | hit_10pc_20d:atr_20_pct>2.98 & dist_high_120<=-26.16 & rs_market_60d>-22.12 & weekly_close_loc>0.44 | hit_10pc_20d:roc_5<=2.59 & weekly_close_loc>0.48 & weekly_range_pct<=16.49 & weekly_range_pct>6.77 | hit_10pc_20d:atr_20_pct>2.35 & roc_20<=3.54 & weekly_close_loc>0.5 & weekly_range_pct>7.0
ADANIPORTS [ENTERPRISE-Dryup] nf=18 down_streak=0 vol=0.9x sret=+0.3% rsi=75 distSMA200=-11% distHigh60=-6% atr=2.8% | close10d[1131,1139,1137,1130,1123,1114,1132,1132,1168,1172] vol5d[0.5x,0.6x,0.0x,1.1x,0.9x] | patterns: hit_10pc_20d:atr_20_pct>2.38 & dist_high_252<=-5.37 & weekly_close_loc>0.74 & weekly_range_pct>4.48 | hit_10pc_20d:rs_market_60d<=26.73 & weekly_close_loc>0.7 & weekly_close_vs_sma20<=39.28 & weekly_range_pct>5.14 | hit_10pc_20d:atr_20_pct<=4.48 & weekly_close_loc>0.71 & weekly_close_vs_sma20<=5.52 & weekly_range_pct>6.07 | hit_10pc_20d:atr_20_pct>2.67 & roc_60>-11.53 & rs_market_60d<=3.56 & weekly_close_loc>0.71 | hit_10pc_20d:atr_20_pct>2.54 & dist_sma_20>4.01 & weekly_close_loc>0.75 & weekly_close_vs_sma20<=13.7
HDFCLIFE [GOLD] nf=17 down_streak=0 vol=1.8x sret=+1.5% rsi=75 distSMA200=+2% distHigh60=-1% atr=2.0% | close10d[617,623,624,635,630,621,628,628,663,672] vol5d[0.9x,0.5x,0.0x,1.1x,1.8x] | patterns: hit_10pc_20d:rs_market_60d<=26.73 & weekly_close_loc>0.7 & weekly_close_vs_sma20<=39.28 & weekly_range_pct>5.14 | hit_10pc_20d:dist_high_10>-3.88 & roc_60<=12.78 & weekly_close_loc>0.41 & weekly_range_pct>7.9 | hit_10pc_20d:roc_5>0.34 & weekly_close_loc>0.49 & weekly_range_pct<=13.88 & weekly_range_pct>7.86 | hit_10pc_20d:atr_20_pct<=3.12 & weekly_close_loc>0.76 & weekly_close_vs_sma20>-0.17 & weekly_range_pct>6.69 | hit_10pc_20d:atr_20_pct<=4.48 & weekly_close_loc>0.71 & weekly_close_vs_sma20<=5.52 & weekly_range_pct>6.07
ESCORTS [GOLD] nf=58 down_streak=0 vol=0.7x sret=+0.4% rsi=67 distSMA200=-12% distHigh60=-13% atr=3.0% | close10d[3050,2980,2901,2860,2893,2878,2931,2931,3156,3168] vol5d[0.5x,0.4x,0.0x,2.6x,0.7x] | patterns: hit_10pc_20d:atr_20_pct>2.59 & weekly_close_loc>0.68 & weekly_range_pct>8.52 | hit_10pc_20d:atr_20_pct>2.32 & dist_high_120<=-4.81 & weekly_close_loc>0.64 & weekly_range_pct>8.0 | hit_10pc_20d:atr_20_pct>2.56 & roc_20<=29.31 & weekly_close_loc>0.71 & weekly_range_pct>7.89 | hit_10pc_20d:roc_60<=31.97 & weekly_close_loc>0.59 & weekly_close_vs_sma20<=8.87 & weekly_range_pct>9.47 | hit_10pc_20d:roc_60>-14.78 & rs_sector_60d>-15.62 & weekly_close_loc>0.66 & weekly_range_pct>9.0
